,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
129,0,0.0,0,0.0,7,384.5,0.0,0.028571429,0.0,0.0,5,2,4,1,5,2,0,0
130,0,0.0,0,0.0,4,145.0,0.0,0.04,0.0,0.0,5,1,8,4,6,2,1,0
131,0,0.0,0,0.0,7,202.25,0.0,0.028571429,0.0,0.0,12,1,1,2,2,2,0,0
132,10,231.49999999999997,0,0.0,82,3394.1229175000003,0.0,0.006257147,0.0,0.0,11,2,4,1,2,2,0,0
133,1,12.0,0,0.0,43,851.8857143,0.0,0.009883721,0.0,0.0,11,2,2,1,2,2,0,1
134,1,27.9,0,0.0,64,3394.1229175000003,0.0,0.019583333,0.0,0.0,11,2,2,1,2,2,0,0
135,2,113.5,0,0.0,37,1344.340476,0.0,0.005405405,0.0,0.0,12,2,2,3,2,1,0,1
136,1,13.83333333,0,0.0,82,3394.1229175000003,0.004207921,0.017597513,0.0,0.0,11,2,5,4,1,2,0,1
137,0,0.0,0,0.0,74,3105.365207,0.015789474,0.022261905,0.0,0.0,11,1,2,5,2,2,0,0
138,1,120.5,0,0.0,75,1677.805952,0.006578947,0.023128655,0.0,0.0,12,2,2,1,1,2,0,0
139,0,0.0,0,0.0,39,935.0972222,0.005128205,0.015042735,0.0,0.0,12,2,2,8,2,2,0,0
140,2,46.0,0,0.0,13,195.0,0.0,0.008333333,0.0,0.0,5,2,2,1,4,2,0,0
141,0,0.0,0,0.0,9,321.0,0.033333333,0.085185185,0.0,0.0,3,2,5,5,1,2,0,0
142,2,48.5,0,0.0,5,396.1666667,0.0,0.008333333,0.0,0.0,12,3,2,5,10,2,0,0
143,0,0.0,0,0.0,19,1056.658333,0.005882353,0.041176471,0.0,0.0,12,1,1,1,8,2,0,0
145,1,26.0,0,0.0,11,345.1666667,0.022222222,0.008888889,0.0,0.0,5,1,1,4,3,2,0,0
146,0,0.0,0,0.0,63,1021.0,0.0265625,0.059895833,0.0,0.8,5,2,2,1,3,2,0,0
147,0,0.0,0,0.0,11,500.0,0.0,0.02,0.0,0.0,5,2,2,3,2,2,0,1
148,2,13.0,0,0.0,3,200.0,0.0,0.05,0.0,0.0,12,2,2,1,8,1,0,0
149,0,0.0,0,0.0,24,854.3333333,0.0,0.008333333,0.0,0.0,3,4,1,1,10,2,0,0
150,2,94.6,0,0.0,42,1157.783333,0.0,0.032222222,0.0,0.0,10,2,4,1,1,2,1,0
151,0,0.0,0,0.0,13,1314.083333,0.0,0.008333333,0.0,0.0,12,8,13,9,20,0,0,1
152,2,67.5,0,0.0,45,1660.0,0.022727273,0.0375,0.0,0.0,11,2,5,1,1,2,0,0
153,5,231.49999999999997,0,0.0,30,805.7833333,0.0,0.0203125,0.0,0.0,12,2,2,4,2,2,0,0
154,0,0.0,0,0.0,2,4.0,0.0,0.1,0.0,0.0,8,2,2,1,1,2,0,0
155,0,0.0,0,0.0,3,395.0,0.0,0.066666667,0.0,0.0,2,1,1,3,3,2,0,0
156,0,0.0,0,0.0,1,0.0,0.041666667500000004,0.103571429,0.0,0.6,5,2,4,7,6,2,0,0
157,0,0.0,0,0.0,2,9.0,0.0,0.1,0.0,0.0,5,2,2,2,3,2,0,0
158,1,10.0,0,0.0,23,660.8166667,0.0,0.025,0.0,0.0,3,2,4,1,3,2,1,0
159,10,132.7222222,0,0.0,82,3394.1229175000003,0.0,0.007905605,0.0,0.0,11,2,10,7,2,2,0,0
160,0,0.0,0,0.0,82,2611.747653,0.004356436,0.029287373,0.0,0.0,10,2,2,1,1,2,0,0
161,0,0.0,0,0.0,7,133.5,0.0,0.025,0.0,0.0,11,2,2,6,6,0,0,0
162,0,0.0,0,0.0,4,41.0,0.041666667500000004,0.1,0.0,0.0,3,3,2,2,1,2,0,0
163,0,0.0,0,0.0,82,2622.600281,0.022,0.028519936,0.0,0.0,11,3,2,2,13,2,0,1
164,1,6.5,0,0.0,10,511.25,0.0,0.007407407,0.0,0.0,12,2,5,3,8,1,1,1
165,5,231.49999999999997,0,0.0,3,1692.25,0.0,0.014285714,0.0,0.0,12,2,2,9,2,1,0,0
166,1,10.5,0,0.0,82,3394.1229175000003,0.005025126,0.023180221,0.0,0.0,12,2,2,1,2,2,0,0
167,0,0.0,0,0.0,82,3214.020563,0.0,0.007723577,0.0,0.0,3,3,3,2,10,2,0,1
168,0,0.0,0,0.0,9,281.5,0.0,0.008333333,0.0,0.0,10,4,2,9,7,2,0,0
169,2,14.0,0,0.0,82,3394.1229175000003,0.008018648,0.025030224,0.0,0.0,11,1,8,3,11,2,0,0
170,2,18.0,0,0.0,49,1550.916667,0.016,0.041333333,0.0,0.0,11,2,2,3,1,2,0,0
171,0,0.0,0,0.0,18,1456.916667,0.005882353,0.030392157,0.0,0.0,12,3,3,3,2,2,0,0
172,9,175.9333333,0,0.0,28,717.2190476,0.005882353,0.017058824,0.0,1.0,5,2,2,5,4,2,1,0
173,5,62.6,0,0.0,15,272.5,0.0,0.011111111,0.0,0.0,10,1,1,1,2,1,1,0
174,1,15.0,0,0.0,18,343.8333333,0.0,0.0125,0.0,0.0,12,2,13,9,20,1,0,1
175,4,162.0,0,0.0,4,158.5,0.0,0.016666667,0.0,0.0,3,2,4,1,10,2,0,0
176,2,48.0,0,0.0,24,543.75,0.016,0.0408,0.0,0.8,5,2,2,3,2,2,0,0
177,0,0.0,0,0.0,4,880.0,0.0,0.05,0.0,0.0,5,2,2,7,1,2,1,0
178,8,231.49999999999997,0,0.0,14,336.5,0.0,0.005555556,0.0,0.0,3,3,2,7,9,2,1,0
179,4,231.49999999999997,0,0.0,10,183.7083333,0.015384615,0.026666667,0.0,0.0,12,1,1,3,2,2,0,0
180,1,47.4,0,0.0,5,238.2,0.0,0.033333333,0.0,0.0,9,2,2,5,4,1,1,0
182,8,171.75,0,0.0,32,486.6666667,0.0,0.005555556,0.0,0.0,12,4,2,1,2,1,0,0
183,0,0.0,0,0.0,1,0.0,0.041666667500000004,0.103571429,0.0,0.0,11,1,1,1,2,2,0,0
184,0,0.0,0,0.0,12,468.0,0.016666667,0.033333333,0.0,0.0,3,4,1,4,3,2,0,0
185,0,0.0,0,0.0,10,305.0,0.0,0.02,0.0,0.0,11,2,2,1,8,2,0,0
186,3,118.0,0,0.0,16,859.1666667,0.0,0.014814815,0.0,0.0,5,3,2,2,2,2,0,0
187,0,0.0,0,0.0,3,178.25,0.0,0.066666667,0.0,0.0,11,3,2,1,10,2,0,0
188,2,152.8333333,0,0.0,20,791.6666667,0.011111111,0.016666667,0.0,0.0,3,1,1,1,2,1,0,1
189,4,231.49999999999997,0,0.0,82,2171.547149,0.016281269,0.029507982,0.0,0.0,11,3,2,4,13,2,1,0
191,0,0.0,0,0.0,29,2374.5,0.0,0.002298851,0.0,0.0,11,2,5,1,2,2,0,0
192,0,0.0,0,0.0,44,1924.505952,0.0,0.004651163,0.0,0.0,11,2,2,3,6,2,0,1
193,0,0.0,0,0.0,5,168.5,0.0,0.04,0.0,0.0,11,2,4,1,2,2,0,0
194,0,0.0,0,0.0,3,17.0,0.0,0.066666667,0.0,0.0,11,2,2,9,3,2,0,0
195,1,28.2,0,0.0,18,536.0857143,0.0,0.011111111,0.0,0.0,8,2,2,4,4,1,0,1
196,10,215.5238095,0,0.0,82,3037.499952,0.002150538,0.007722385,0.0,0.0,3,2,2,5,1,2,0,0
197,8,231.49999999999997,0,0.0,32,1403.828355,0.0,0.003153153,0.0,0.0,11,2,2,3,2,2,0,1
198,1,66.4,0,0.0,39,606.3666667,0.015789474,0.026754386,0.0,0.0,7,2,2,1,4,2,0,0
199,7,199.85,0,0.0,39,1267.453333,0.004761905,0.020634921,0.0,0.0,11,2,4,1,4,2,0,0
200,0,0.0,0,0.0,60,3386.0,0.025333333,0.063888889,0.0,0.8,5,2,2,1,6,2,0,0
201,8,231.49999999999997,0,0.0,82,2776.013582,0.002380952,0.017256944,0.0,0.0,11,3,2,3,2,2,1,0
202,0,0.0,0,0.0,4,41.4,0.041666667500000004,0.103571429,0.0,0.0,7,3,2,6,1,2,0,0
203,0,0.0,0,0.0,12,240.4166667,0.0,0.061688312,0.0,0.0,3,3,2,1,6,2,0,0
204,2,83.0,0,0.0,15,605.8857143,0.0,0.005882353,0.0,0.0,3,1,1,3,2,2,1,0
205,10,231.49999999999997,0,0.0,82,3163.096825,0.011664747,0.021393867,0.0,0.0,11,3,2,6,13,2,0,0
206,6,135.15,0,0.0,52,1199.22619,0.013095238,0.020257937,0.0,0.0,9,3,2,3,13,2,0,0
207,0,0.0,0,0.0,3,41.0,0.0,0.033333333,0.0,0.0,3,2,2,1,3,2,1,0
208,0,0.0,0,0.0,10,342.1666667,0.0,0.022222222,0.0,0.0,5,2,2,1,1,2,0,1
209,1,113.6666667,0,0.0,16,589.6666667,0.0,0.003632479,0.0,0.0,5,3,2,6,11,1,1,0
210,1,28.0,0,0.0,19,362.0,0.0,0.005555556,0.0,0.0,5,2,2,7,5,2,0,0
211,5,231.49999999999997,0,0.0,23,1037.833333,0.017857143,0.039285714,0.0,0.0,8,2,2,5,1,2,0,0
212,3,14.5,0,0.0,61,1423.967857,0.01,0.022611111,0.0,0.8,5,2,2,7,4,2,0,0
213,0,0.0,0,0.0,31,750.5904762,0.007407407,0.036957672,0.0,0.0,3,2,2,1,2,2,0,0
214,0,0.0,0,0.0,1,11.0,0.0,0.1,0.0,0.0,12,1,1,3,1,2,0,0
215,0,0.0,0,0.0,5,86.0,0.0,0.057142857,0.0,0.0,11,1,1,1,3,2,0,0
216,10,231.49999999999997,0,0.0,29,1233.307765,0.009142857,0.03247619,0.0,0.0,12,2,2,1,2,2,0,0
217,3,68.28571429,0,0.0,26,741.0555556,0.014285714,0.039707071,0.0,0.0,11,3,2,4,10,2,0,1
218,4,147.5,0,0.0,25,788.2666667,0.007142857,0.028571429,0.0,0.0,5,2,2,3,3,2,0,1
219,0,0.0,0,0.0,15,436.0,0.013333333,0.086666667,0.0,0.8,5,2,2,1,3,2,0,0
220,6,231.49999999999997,0,0.0,82,2710.570238,0.016842105,0.026417863,0.0,0.6,5,2,2,4,3,2,0,0
221,0,0.0,0,0.0,5,74.0,0.0,0.04,0.0,0.0,3,2,2,1,10,2,0,0
222,0,0.0,0,0.0,24,1151.0,0.0,0.0125,0.0,0.0,11,2,2,3,8,1,1,1
223,0,0.0,0,0.0,31,3394.1229175000003,0.032258065,0.055591398,0.0,0.0,3,2,2,7,10,2,0,0
224,0,0.0,0,0.0,1,0.0,0.041666667500000004,0.103571429,0.0,0.2,5,2,5,1,3,2,0,0
225,2,82.6,0,0.0,34,1446.733333,0.0,0.002439024,0.0,0.0,10,4,1,4,2,1,1,0
226,6,231.49999999999997,0,0.0,82,3394.1229175000003,0.0,0.009275362,0.0,0.0,11,2,2,2,2,2,0,0
227,3,143.0,0,0.0,3,380.0,0.0,0.042857143,0.0,0.4,5,2,2,4,3,1,0,0
228,2,98.75,0,0.0,24,683.1653846,0.0,0.011111111,0.0,0.0,12,2,2,1,2,2,0,0
229,0,0.0,0,0.0,27,2514.25,0.0,0.006666667,0.0,0.0,5,2,2,3,5,1,0,1
231,0,0.0,0,0.0,4,46.0,0.0,0.05,0.0,0.0,5,1,1,7,2,2,0,0
232,7,231.49999999999997,0,0.0,82,3394.1229175000003,0.005072464,0.020659075,0.0,0.2,5,2,2,3,1,2,0,0
233,0,0.0,0,0.0,4,76.75,0.0,0.016666667,0.0,0.0,11,1,1,8,2,1,0,1
234,9,165.5,0,0.0,50,2207.391667,0.001724138,0.009972955,0.0,0.0,3,1,1,4,3,2,1,0
235,0,0.0,0,0.0,7,143.0,0.0,0.028571429,0.0,0.0,11,2,5,2,3,2,0,0
236,2,63.5,0,0.0,12,222.5,0.0,0.007142857,0.0,0.0,12,2,10,3,2,1,1,0
237,0,0.0,0,0.0,15,245.0,0.0,0.0125,0.0,0.0,3,2,2,1,3,2,1,1
238,0,0.0,0,0.0,13,646.7916667,0.005128205,0.054358974,0.0,0.8,5,1,1,2,1,2,0,0
239,8,231.49999999999997,0,0.0,82,3394.1229175000003,0.002571429,0.015411986,0.0,0.0,11,2,2,1,2,2,0,0
240,0,0.0,0,0.0,6,197.0,0.0,0.011111111,0.0,0.0,3,2,2,1,2,2,0,0
241,4,56.0,0,0.0,31,270.4916667,0.0,0.00234375,0.0,0.0,3,2,2,1,3,2,0,0
242,1,102.5,0,0.0,5,97.0,0.0,0.011111111,0.0,0.0,3,3,2,1,9,1,1,0
243,0,0.0,0,0.0,20,616.5,0.0,0.01,0.0,0.0,11,3,3,1,3,1,0,0
244,7,142.35,0,0.0,73,3394.1229175000003,0.0,0.003947368,0.0,0.0,10,2,5,3,5,1,0,1
245,0,0.0,0,0.0,24,330.0833333,0.0375,0.043055556,0.0,1.0,5,1,1,7,4,2,1,0
246,0,0.0,0,0.0,5,586.0,0.0,0.06,0.0,0.0,11,2,4,9,10,2,1,0
247,0,0.0,0,0.0,12,292.875,0.0,0.028333333,0.0,0.0,11,4,2,3,2,2,1,0
248,0,0.0,0,0.0,1,0.0,0.041666667500000004,0.103571429,0.0,0.0,11,3,2,1,13,2,1,0
249,1,69.6,0,0.0,46,1292.449762,0.004347826,0.005555556,0.0,0.0,8,3,2,1,2,2,1,0
250,0,0.0,0,0.0,12,699.25,0.023809524,0.028571429,0.0,0.0,5,1,1,3,3,2,0,0
251,5,231.49999999999997,0,0.0,14,629.2916667,0.0,0.0275,0.0,0.0,11,2,4,1,8,2,0,0
252,6,231.49999999999997,0,0.0,40,1190.4,0.0,0.012318841,0.0,0.0,5,3,2,1,11,2,0,0
